Country Name,Most Recent Year,Population on thousands
Netherlands,2020,"17,441.50"
New Caledonia,2020,271.96
New Zealand,2020,"5,084.30"
Nicaragua,2020,"6,624.55"
Niger,2020,"24,206.64"
Nigeria,2020,"206,139.59"
North Macedonia,2020,"2,072.53"
Northern Mariana Islands,2020,57.56
Norway,2020,"5,379.48"
Oman,2020,"5,106.62"
Pakistan,2020,"220,892.33"
Palau,2020,18.09
Panama,2020,"4,314.77"
Papua New Guinea,2020,"8,947.03"
Paraguay,2020,"7,132.53"
Peru,2020,"32,971.85"
Philippines,2020,"109,581.09"
Poland,2020,"37,899.07"
Portugal,2020,"10,297.08"
Puerto Rico,2020,"3,281.54"
Qatar,2020,"2,881.06"
Romania,2020,"19,257.52"
Russian Federation,2020,"144,104.08"
Rwanda,2020,"12,952.21"
Samoa,2020,198.41
San Marino,2020,33.94
Sao Tome and Principe,2020,219.16
Saudi Arabia,2020,"34,813.87"
Senegal,2020,"16,743.93"
Serbia,2020,"6,899.13"
Seychelles,2020,98.46
Sierra Leone,2020,"7,976.98"
Singapore,2020,"5,685.81"
Sint Maarten (Dutch part),2020,42.31
Slovak Republic,2020,"5,458.83"
Slovenia,2020,"2,102.42"
Solomon Islands,2020,686.88
Somalia,2020,"15,893.22"
South Africa,2020,"59,308.69"
South Sudan,2020,"11,193.73"
Spain,2020,"47,363.42"
Sri Lanka,2020,"21,919.00"
St. Kitts and Nevis,2020,53.19
St. Lucia,2020,183.63
St. Martin (French part),2020,38.66
St. Vincent and the Grenadines,2020,110.95
Sudan,2020,"43,849.27"
Suriname,2020,586.63
Sweden,2020,"10,353.44"
Switzerland,2020,"8,636.56"
Syrian Arab Republic,2020,"17,500.66"
Tajikistan,2020,"9,537.64"
Tanzania,2020,"59,734.21"
Thailand,2020,"69,799.98"
Timor-Leste,2020,"1,318.44"
Togo,2020,"8,278.74"
Tonga,2020,105.7
Trinidad and Tobago,2020,"1,399.49"
Tunisia,2020,"11,818.62"
Turkey,2020,"84,339.07"
Turkmenistan,2020,"6,031.19"
Turks and Caicos Islands,2020,38.72
Tuvalu,2020,11.79
Uganda,2020,"45,741.00"
Ukraine,2020,"44,134.69"
United Arab Emirates,2020,"9,890.40"
United Kingdom,2020,"67,215.29"
United States,2020,"331,501.08"
Uruguay,2020,"3,473.73"
Uzbekistan,2020,"34,232.05"
Vanuatu,2020,307.15
"Venezuela, RB",2020,"28,435.94"
Vietnam,2020,"97,338.58"
Virgin Islands (U.S.),2020,106.29
West Bank and Gaza,2020,"4,803.27"
"Yemen, Rep.",2020,"29,825.97"
Zambia,2020,"18,383.96"
Zimbabwe,2020,"14,862.93"
World,2020,"7,763,498.65"
Arab World,2020,"436,080.73"
Caribbean small states,2020,"7,442.29"
Central Europe and the Baltics,2020,"102,172.35"
East Asia & Pacific,2020,"2,360,916.96"
East Asia & Pacific (excluding high income),2020,"2,113,820.75"
Euro area,2020,"342,708.35"
Europe & Central Asia,2020,"923,142.69"
Europe & Central Asia (excluding high income),2020,"420,185.87"
European Union,2020,"447,479.49"
Fragile and conflict affected situations,2020,"930,004.31"
Heavily indebted poor countries (HIPC),2020,"823,480.04"
Latin America & Caribbean,2020,"652,365.26"
Latin America & Caribbean (excluding high income),2020,"595,242.97"
Least developed countries: UN classification,2020,"1,057,131.01"
Middle East & North Africa,2020,"464,542.37"
Middle East & North Africa (excluding high income),2020,"396,147.84"
North America,2020,"369,602.19"
OECD members,2020,"1,372,683.61"
Other small states,2020,"31,929.88"
Pacific island small states,2020,"2,528.96"
Small states,2020,"41,901.13"
South Asia,2020,"1,856,882.40"
Sub-Saharan Africa,2020,"1,136,046.77"
Sub-Saharan Africa (excluding high income),2020,"1,135,948.31"
High income,2020,"1,216,834.55"
Low & middle income,2020,"6,518,228.15"
Low income,2020,"665,149.04"
Lower middle income,2020,"3,330,640.85"
Middle income,2020,"5,853,079.11"
Upper middle income,2020,"2,522,438.27"
